,timestamp,date,time,target_label,day,transaction,volume_5min,volume_norm,barsize_5min,barsize_5min_norm,topping_tail,bottoming_tail,inside_wicks,inside_body,sma_90_norm,sma_90_slope,avwap_2day,gap,gap_up
17,2023-12-13 07:35:00,2023-12-13,07:35:00,0,Wednesday,1.0,29617.0,0.8708257069559913,40.0,0.23,0.0072,0.0217,0.0,1.0,1.0132,0.0228,0.045,1.01,1
18,2023-12-14 07:40:00,2023-12-14,07:40:00,0,Thursday,1.0,29997.0,0.8829983736486934,47.75,0.27,0.0686,0.0529,0.0,0.0,1.0118,0.028,0.1056,0.24,1
19,2023-12-15 07:35:00,2023-12-15,07:35:00,0,Friday,1.0,32782.0,0.9808524038842737,39.75,0.23,0.1518,0.0458,1.0,1.0,1.0018,-0.0007,0.1322,0.19,1
20,2023-12-18 07:35:00,2023-12-18,07:35:00,1,Monday,1.0,31228.0,0.9305319240866168,41.0,0.23,0.04,0.087,0.0,1.0,1.0015,0.0088,0.0112,0.16,1
21,2023-12-19 07:40:00,2023-12-19,07:40:00,1,Tuesday,1.0,32376.0,0.9649887558065193,44.75,0.25,0.0766,0.0482,1.0,0.0,1.0023,0.0099,0.0865,0.09,1
22,2023-12-20 07:35:00,2023-12-20,07:35:00,1,Wednesday,1.0,25576.0,0.7606245353159852,24.5,0.14,0.0184,0.0906,1.0,1.0,0.9998,0.0017,0.0735,-0.21,0
23,2023-12-21 07:35:00,2023-12-21,07:35:00,1,Thursday,0.0,35986.0,1.0696334782854238,49.5,0.28,0.1563,0.0653,1.0,1.0,0.9956,-0.0042,-0.0006,0.94,1
24,2023-12-26 07:35:00,2023-12-26,07:35:00,1,Tuesday,1.0,25697.0,0.7693781680673779,28.25,0.16,0.0071,0.0254,0.0,1.0,1.0078,0.0144,0.0283,0.35,1
25,2023-12-27 08:00:00,2023-12-27,08:00:00,0,Wednesday,1.0,27513.0,0.8237523802680272,31.25,0.18,0.0647,0.0014,1.0,0.0,1.003,0.0148,0.0229,0.05,1
26,2023-12-28 07:35:00,2023-12-28,07:35:00,1,Thursday,0.0,24922.0,0.7661942386325207,36.5,0.2,0.0617,0.028,0.0,0.0,1.0035,0.0032,-0.0375,0.19,1
27,2023-12-29 07:35:00,2023-12-29,07:35:00,0,Friday,0.0,17605.0,0.5571361209654706,19.5,0.11,0.0591,0.045,1.0,0.0,0.9985,0.0003,0.0086,-0.01,0
28,2024-01-03 07:35:00,2024-01-03,07:35:00,0,Wednesday,1.0,45876.0,1.421568323655001,44.25,0.26,0.0753,0.1722,0.0,0.0,0.9757,-0.0323,0.0211,-2.4,0
29,2024-01-04 07:35:00,2024-01-04,07:35:00,1,Thursday,1.0,33544.0,1.0429067325375148,47.5,0.28,0.0511,0.0614,0.0,0.0,0.9891,-0.0363,0.0621,-0.53,0
30,2024-01-05 07:35:00,2024-01-05,07:35:00,0,Friday,1.0,32294.0,1.0165431426462417,51.25,0.3,0.0029,0.0716,1.0,1.0,0.9961,-0.0062,-0.0375,0.03,1
31,2024-01-08 07:35:00,2024-01-08,07:35:00,1,Monday,1.0,27174.0,0.8603287574084393,44.75,0.26,0.0146,0.0408,0.0,1.0,1.0015,0.004,0.1704,0.29,1
32,2024-01-09 07:40:00,2024-01-09,07:40:00,0,Tuesday,0.0,36615.0,1.139323220536756,49.5,0.29,0.0202,0.013,1.0,1.0,1.0,0.0195,-0.0864,-0.79,0
33,2024-01-10 07:35:00,2024-01-10,07:35:00,0,Wednesday,1.0,31012.0,0.9852179189447634,35.25,0.2,0.0942,0.0043,1.0,0.0,1.0026,0.0048,0.0467,0.05,1
34,2024-01-11 07:35:00,2024-01-11,07:35:00,0,Thursday,1.0,41098.0,1.3110016252745342,44.0,0.25,0.0127,0.058,0.0,0.0,1.0054,0.0118,0.0346,0.25,1
35,2024-01-16 07:35:00,2024-01-16,07:35:00,0,Tuesday,1.0,39413.0,1.2632311062607071,36.5,0.21,0.0895,0.0682,0.0,0.0,1.0014,-0.0033,-0.0441,-0.29,0
36,2024-01-17 07:35:00,2024-01-17,07:35:00,0,Wednesday,0.0,49113.0,1.5124769416018156,87.25,0.5,0.1057,0.0129,0.0,0.0,0.9934,-0.0127,-0.0996,-0.84,0
37,2024-01-18 07:40:00,2024-01-18,07:40:00,0,Thursday,1.0,44450.0,1.3383092141610877,54.25,0.31,0.0933,0.0085,0.0,0.0,1.0111,0.007,0.019,0.76,1
38,2024-01-19 07:40:00,2024-01-19,07:40:00,1,Friday,1.0,44037.0,1.2984309557120552,36.0,0.2,0.0601,0.1328,0.0,0.0,1.0099,0.0248,0.0211,0.48,1
39,2024-01-23 07:35:00,2024-01-23,07:35:00,0,Tuesday,0.0,45380.0,1.3136317517936518,74.75,0.41,0.0027,0.0261,0.0,0.0,1.0114,0.0208,0.0542,0.26,1
40,2024-01-24 07:35:00,2024-01-24,07:35:00,0,Wednesday,0.0,39090.0,1.1188214737016848,39.0,0.21,0.0163,0.0149,0.0,0.0,1.0128,0.0142,-0.1474,0.93,1
41,2024-01-25 07:45:00,2024-01-25,07:45:00,0,Thursday,0.0,52949.0,1.472146844903134,55.5,0.3,0.0312,0.1628,1.0,0.0,1.0024,0.013,-0.0332,0.56,1
42,2024-01-26 07:35:00,2024-01-26,07:35:00,0,Friday,0.0,38507.0,1.051708715987846,37.75,0.21,0.0424,0.1273,1.0,0.0,0.9947,-0.0068,-0.0236,-0.45,0
43,2024-01-29 07:35:00,2024-01-29,07:35:00,0,Monday,1.0,29861.0,0.8224471527921229,28.25,0.15,0.0205,0.1055,0.0,0.0,0.999,-0.0036,0.1063,0.11,1
44,2024-01-30 08:00:00,2024-01-30,08:00:00,1,Tuesday,0.0,31262.0,0.8544856945668737,32.25,0.18,0.0885,0.0408,1.0,1.0,1.004,0.0072,-0.1198,-0.26,0
45,2024-01-31 07:40:00,2024-01-31,07:40:00,0,Wednesday,0.0,41361.0,1.1095239436506372,56.5,0.31,0.0635,0.1603,0.0,0.0,0.9876,-0.0156,-0.2333,-1.05,0
46,2024-02-01 07:35:00,2024-02-01,07:35:00,0,Thursday,1.0,35750.0,0.9452783018306669,41.75,0.23,0.0014,0.0764,1.0,1.0,0.9962,-0.0161,-0.0214,0.4,1
47,2024-02-05 07:35:00,2024-02-05,07:35:00,1,Monday,0.0,31186.0,0.8100554305870863,30.75,0.17,0.0285,0.0841,0.0,1.0,1.0211,0.0284,-0.0606,1.62,1
48,2024-02-06 07:35:00,2024-02-06,07:35:00,1,Tuesday,0.0,40542.0,1.0604233637355192,48.25,0.26,0.1463,0.0461,1.0,0.0,1.0053,0.0178,-0.0852,0.25,1
49,2024-02-07 07:35:00,2024-02-07,07:35:00,0,Wednesday,0.0,33656.0,0.8801830663615561,35.5,0.19,0.0257,0.0365,0.0,0.0,1.0079,0.0023,-0.1367,0.63,1
50,2024-02-08 07:35:00,2024-02-08,07:35:00,0,Thursday,1.0,24532.0,0.6481476588796652,26.75,0.14,0.0526,0.0431,1.0,1.0,1.0018,0.0119,0.0375,-0.03,0
51,2024-02-09 07:35:00,2024-02-09,07:35:00,0,Friday,0.0,32223.0,0.8457069669845427,27.25,0.15,0.0121,0.0685,0.0,0.0,1.0026,0.0023,-0.041,0.24,1
52,2024-02-13 07:35:00,2024-02-13,07:35:00,1,Tuesday,1.0,45208.0,1.1732738149306412,53.5,0.29,0.0545,0.2304,0.0,0.0,0.9802,-0.0147,0.1573,-2.28,0
53,2024-02-14 07:35:00,2024-02-14,07:35:00,0,Wednesday,0.0,40292.0,1.0332474259850495,36.75,0.2,0.1689,0.0203,1.0,0.0,1.0038,-0.0157,-0.1765,0.61,1
54,2024-02-15 07:35:00,2024-02-15,07:35:00,1,Thursday,0.0,31693.0,0.8226552715426896,33.0,0.18,0.0833,0.0161,0.0,0.0,1.0073,0.0191,-0.0792,0.1,1
55,2024-02-16 07:40:00,2024-02-16,07:40:00,1,Friday,0.0,39719.0,1.0305768859032889,45.25,0.24,0.0201,0.122,1.0,0.0,1.0034,0.0065,-0.1467,0.07,1
56,2024-02-20 07:35:00,2024-02-20,07:35:00,1,Tuesday,0.0,47217.0,1.2281461539962155,77.75,0.42,0.2259,0.0708,0.0,0.0,0.9902,-0.0143,-0.2259,-0.48,0
57,2024-02-21 07:40:00,2024-02-21,07:40:00,0,Wednesday,0.0,45349.0,1.1781807033906893,49.25,0.27,0.0536,0.1759,1.0,0.0,0.9961,-0.0172,-0.1354,-0.67,0
58,2024-02-23 07:35:00,2024-02-23,07:35:00,0,Friday,1.0,34180.0,0.8995245783643022,44.75,0.24,0.0252,0.0478,0.0,0.0,1.0355,0.0367,0.0183,3.24,1
59,2024-02-26 07:35:00,2024-02-26,07:35:00,0,Monday,0.0,38934.0,1.0334022993692196,42.5,0.23,0.1868,0.036,0.0,0.0,1.0032,0.0384,0.0192,0.17,1
60,2024-02-27 07:35:00,2024-02-27,07:35:00,1,Tuesday,0.0,32257.0,0.8640136712210618,29.75,0.16,0.0467,0.08,1.0,0.0,1.0002,-0.0002,-0.1411,0.23,1
61,2024-02-28 07:35:00,2024-02-28,07:35:00,0,Wednesday,1.0,40181.0,1.094984398631985,43.5,0.23,0.0952,0.1234,1.0,0.0,0.9963,-0.0054,0.0501,-0.52,0
62,2024-02-29 07:35:00,2024-02-29,07:35:00,0,Thursday,1.0,39964.0,1.0869130651769796,49.25,0.26,0.0453,0.052,0.0,0.0,1.0051,0.0026,-0.0145,0.63,1
63,2024-03-01 08:00:00,2024-03-01,08:00:00,1,Friday,1.0,40304.0,1.0808114667274507,53.0,0.28,0.0571,0.0173,1.0,0.0,1.0049,0.0129,0.0039,0.16,1
64,2024-03-04 08:00:00,2024-03-04,08:00:00,0,Monday,0.0,32593.0,0.8724725319584924,49.25,0.26,0.0275,0.1115,0.0,0.0,1.0048,0.0167,-0.0737,-0.03,0
65,2024-03-05 07:35:00,2024-03-05,07:35:00,1,Tuesday,0.0,48119.0,1.27653704276037,64.5,0.34,0.0066,0.0106,0.0,0.0,0.9905,-0.0164,-0.0619,-0.68,0
66,2024-03-06 07:35:00,2024-03-06,07:35:00,1,Wednesday,0.0,37556.0,0.9939328177000285,34.75,0.18,0.1222,0.0159,1.0,1.0,1.007,-0.0144,-0.0217,0.96,1
67,2024-03-07 07:35:00,2024-03-07,07:35:00,0,Thursday,1.0,30814.0,0.8159050379104316,28.75,0.15,0.0185,0.0873,0.0,0.0,1.0072,0.0196,0.0912,0.76,1
68,2024-03-08 07:35:00,2024-03-08,07:35:00,0,Friday,1.0,36246.0,0.9652254149928698,56.75,0.3,0.0276,0.1273,1.0,0.0,1.0032,0.0189,-0.1326,0.05,1
69,2024-03-11 07:40:00,2024-03-11,07:40:00,0,Monday,1.0,17195.0,0.4681612249787632,86.25,0.46,0.0789,0.0415,0.0,0.0,0.9877,-0.0243,0.1314,-0.36,0
70,2024-03-13 07:35:00,2024-03-13,07:35:00,1,Wednesday,0.0,42780.0,1.1365206210216465,47.25,0.25,0.0066,0.0423,0.0,0.0,1.011,-0.0011,-0.0616,1.17,1
71,2024-03-14 07:35:00,2024-03-14,07:35:00,0,Thursday,1.0,40043.0,1.0528709882678362,49.75,0.26,0.0464,0.2135,1.0,1.0,1.0021,0.0082,0.0632,0.24,1
72,2024-03-15 07:35:00,2024-03-15,07:35:00,1,Friday,0.0,54149.0,1.4072259724396916,48.75,0.26,0.1235,0.1262,0.0,0.0,0.993,-0.0142,-0.1612,-0.69,0
73,2024-03-18 07:35:00,2024-03-18,07:35:00,0,Monday,1.0,55354.0,1.4109274616483591,52.25,0.28,0.0626,0.0386,0.0,0.0,1.0105,0.0051,0.0814,1.25,1
74,2024-03-19 07:35:00,2024-03-19,07:35:00,0,Tuesday,0.0,54518.0,1.3503378445320706,50.75,0.27,0.051,0.1397,0.0,0.0,0.9932,0.0017,-0.2233,-0.47,0
75,2024-03-20 07:35:00,2024-03-20,07:35:00,0,Wednesday,0.0,38786.0,0.9617885805894074,33.5,0.18,0.0918,0.016,0.0,0.0,1.0061,0.0016,-0.1534,0.26,1
76,2024-03-21 07:35:00,2024-03-21,07:35:00,0,Thursday,0.0,40219.0,1.0060522224626378,37.75,0.2,0.0222,0.0222,0.0,0.0,1.0205,0.0242,0.0478,1.1,1
77,2024-03-25 07:40:00,2024-03-25,07:40:00,0,Monday,0.0,39676.0,0.9995616399703728,39.0,0.21,0.0528,0.0884,0.0,0.0,0.9915,0.0024,-0.155,-0.54,0
78,2024-03-26 07:35:00,2024-03-26,07:35:00,0,Tuesday,1.0,34331.0,0.8647400125185922,40.5,0.21,0.0092,0.101,1.0,0.0,1.0018,0.0013,-0.0123,0.32,1
79,2024-03-27 07:35:00,2024-03-27,07:35:00,1,Wednesday,0.0,41234.0,1.0356151240897178,57.5,0.3,0.0315,0.0236,1.0,1.0,1.0009,-0.0021,-0.1499,0.63,1
80,2024-03-28 07:40:00,2024-03-28,07:40:00,0,Thursday,1.0,38330.0,0.9553933738123013,48.75,0.26,0.025,0.1119,1.0,0.0,1.0032,-0.0041,0.0959,-0.04,0
81,2024-04-01 07:35:00,2024-04-01,07:35:00,0,Monday,1.0,42117.0,1.0472593270407098,71.0,0.37,0.0053,0.1001,0.0,0.0,1.0009,0.0076,0.271,0.21,1
82,2024-04-03 07:35:00,2024-04-03,07:35:00,1,Wednesday,1.0,25980.0,0.6574352433876894,35.5,0.19,0.024,0.0093,0.0,0.0,0.9869,-0.0129,0.0528,-1.38,0
83,2024-04-04 07:35:00,2024-04-04,07:35:00,0,Thursday,1.0,23655.0,0.611481268458501,22.0,0.12,0.0092,0.0618,0.0,0.0,1.0073,0.0048,-0.0509,0.93,1
84,2024-04-05 07:35:00,2024-04-05,07:35:00,0,Friday,0.0,38559.0,0.9891221954156998,49.0,0.26,0.18,0.0309,1.0,1.0,0.9845,-0.0159,-0.1419,0.35,1
85,2024-04-08 07:35:00,2024-04-08,07:35:00,0,Monday,0.0,44378.0,1.1438808124548923,50.5,0.27,0.0372,0.0173,0.0,1.0,1.0029,0.0069,-0.2504,0.2,1
86,2024-04-09 07:35:00,2024-04-09,07:35:00,1,Tuesday,0.0,44680.0,1.141187468392581,54.5,0.29,0.0755,0.0066,0.0,0.0,1.0045,0.004,0.0959,0.51,1
87,2024-04-10 07:35:00,2024-04-10,07:35:00,0,Wednesday,1.0,54662.0,1.3548777283700917,49.75,0.27,0.0766,0.1169,0.0,0.0,0.9924,-0.0093,0.1512,-1.21,0
88,2024-04-11 07:40:00,2024-04-11,07:40:00,0,Thursday,0.0,46916.0,1.147705005858883,50.75,0.27,0.0427,0.2214,0.0,0.0,1.0046,0.0017,-0.0789,0.41,1
89,2024-04-15 07:35:00,2024-04-15,07:35:00,1,Monday,0.0,37965.0,0.9057270866434778,72.25,0.38,0.0199,0.008,0.0,0.0,1.0,0.0089,-0.0128,-0.79,0
90,2024-04-16 07:35:00,2024-04-16,07:35:00,0,Tuesday,1.0,35339.0,0.8506290235421974,39.25,0.21,0.0191,0.1186,1.0,0.0,0.986,-0.0374,-0.033,-0.05,0
91,2024-04-17 07:35:00,2024-04-17,07:35:00,1,Wednesday,0.0,34451.0,0.8348731792962308,35.5,0.19,0.0136,0.0163,1.0,0.0,1.0034,0.004,-0.0137,0.45,1
92,2024-04-18 07:35:00,2024-04-18,07:35:00,0,Thursday,0.0,40515.0,0.9983182717007633,55.25,0.3,0.0317,0.0496,1.0,1.0,0.9948,-0.0185,-0.3352,0.1,1
93,2024-04-19 07:35:00,2024-04-19,07:35:00,0,Friday,0.0,38230.0,0.9623166079535228,50.25,0.28,0.0084,0.1476,0.0,0.0,0.9926,-0.0126,-0.149,-0.29,0
94,2024-04-23 07:40:00,2024-04-23,07:40:00,1,Tuesday,1.0,49660.0,1.2577198698718346,51.75,0.29,0.2027,0.0783,0.0,0.0,1.0061,-0.0089,0.0492,1.43,1
95,2024-04-24 07:35:00,2024-04-24,07:35:00,0,Wednesday,1.0,42311.0,1.0668324071365896,40.5,0.22,0.1003,0.1017,0.0,0.0,1.0108,0.0373,0.1356,0.7,1
96,2024-04-25 07:40:00,2024-04-25,07:40:00,1,Thursday,1.0,71107.0,1.7256970061740378,52.25,0.29,0.0295,0.0309,0.0,0.0,0.983,-0.0194,0.2071,-1.72,0
97,2024-04-26 07:35:00,2024-04-26,07:35:00,1,Friday,1.0,47363.0,1.138830680598185,69.25,0.38,0.0124,0.1638,0.0,0.0,1.0117,0.0079,0.1794,0.74,1
98,2024-04-29 07:35:00,2024-04-29,07:35:00,1,Monday,0.0,43927.0,1.0441667785861068,40.75,0.22,0.0748,0.068,0.0,0.0,1.0059,0.0229,-0.1504,0.46,1
99,2024-04-30 07:40:00,2024-04-30,07:40:00,0,Tuesday,1.0,36824.0,0.8799370108092415,34.75,0.19,0.0341,0.0683,1.0,0.0,0.9974,-0.0007,0.1886,-0.39,0
100,2024-05-01 07:55:00,2024-05-01,07:55:00,0,Wednesday,0.0,39398.0,0.9402448817892289,50.75,0.28,0.0919,0.0877,0.0,0.0,0.9855,-0.0208,-0.0456,-0.35,0
101,2024-05-03 07:40:00,2024-05-03,07:40:00,0,Friday,1.0,34882.0,0.8397187296130727,47.5,0.26,0.0407,0.114,0.0,0.0,1.0244,0.0155,0.143,3.02,1
102,2024-05-06 07:35:00,2024-05-06,07:35:00,1,Monday,1.0,32089.0,0.766843786256842,35.5,0.19,0.0148,0.1469,0.0,0.0,1.0075,0.0211,0.0655,0.4,1
103,2024-05-07 07:50:00,2024-05-07,07:50:00,0,Tuesday,0.0,29554.0,0.7013205823376562,40.0,0.21,0.0549,0.0763,0.0,0.0,1.006,0.0127,-0.0308,0.07,1
104,2024-05-08 07:35:00,2024-05-08,07:35:00,1,Wednesday,1.0,26731.0,0.6433593026082395,31.5,0.17,0.0431,0.0269,0.0,0.0,0.993,-0.0025,0.1128,-0.62,0
105,2024-05-09 07:35:00,2024-05-09,07:35:00,1,Thursday,0.0,29864.0,0.731541223905897,32.0,0.17,0.0951,0.0308,1.0,0.0,1.0004,-0.001,-0.1158,0.02,1
106,2024-05-10 07:35:00,2024-05-10,07:35:00,0,Friday,1.0,38524.0,0.9508436256651759,59.75,0.32,0.004,0.0973,0.0,0.0,1.0041,0.0091,0.077,0.32,1
107,2024-05-13 07:35:00,2024-05-13,07:35:00,0,Monday,0.0,33325.0,0.8447669444532463,46.25,0.25,0.0239,0.0053,0.0,0.0,1.0049,0.0041,-0.0923,0.43,1
108,2024-05-14 07:35:00,2024-05-14,07:35:00,1,Tuesday,1.0,37180.0,0.9542643527852175,29.25,0.16,0.0387,0.048,1.0,0.0,0.9994,0.0018,0.0634,-0.12,0
109,2024-05-15 07:35:00,2024-05-15,07:35:00,0,Wednesday,1.0,42068.0,1.0740647124755216,37.0,0.19,0.0316,0.0908,0.0,0.0,1.0092,0.0141,-0.0435,0.53,1
110,2024-05-16 07:35:00,2024-05-16,07:35:00,1,Thursday,1.0,28269.0,0.7283271842859205,18.5,0.1,0.0326,0.0352,1.0,1.0,1.0045,0.0164,0.0564,-0.08,0
111,2024-05-17 07:35:00,2024-05-17,07:35:00,0,Friday,1.0,31536.0,0.8155612479100856,24.75,0.13,0.0692,0.0078,1.0,1.0,0.9971,-0.0025,0.061,0.0,0
112,2024-05-20 07:35:00,2024-05-20,07:35:00,1,Monday,1.0,33112.0,0.8645950017886193,54.5,0.28,0.0026,0.0457,0.0,1.0,1.0004,-0.0007,0.1192,0.03,1
113,2024-05-21 07:35:00,2024-05-21,07:35:00,1,Tuesday,1.0,33063.0,0.8691788897549512,33.25,0.17,0.0078,0.0443,1.0,1.0,0.9974,0.0052,0.0219,-0.43,0
114,2024-05-23 07:35:00,2024-05-23,07:35:00,1,Thursday,0.0,42650.0,1.1316344223822166,51.75,0.27,0.0051,0.0308,0.0,1.0,1.012,0.0106,-0.0447,0.96,1
115,2024-05-24 07:35:00,2024-05-24,07:35:00,0,Friday,1.0,29345.0,0.7922398560496536,43.5,0.23,0.013,0.1545,1.0,1.0,0.9976,0.0003,-0.0819,0.35,1
116,2024-05-28 07:35:00,2024-05-28,07:35:00,0,Tuesday,0.0,33477.0,0.9521588325054289,35.0,0.18,0.0889,0.0425,0.0,1.0,1.0039,0.016,-0.0167,0.25,1
117,2024-05-29 07:35:00,2024-05-29,07:35:00,1,Wednesday,1.0,37506.0,1.0819184104401407,45.5,0.24,0.0545,0.0247,0.0,0.0,0.9931,-0.0033,0.077,-0.94,0
118,2024-05-30 07:35:00,2024-05-30,07:35:00,1,Thursday,0.0,36011.0,1.0507901862832065,54.0,0.28,0.0234,0.0065,1.0,0.0,0.9957,-0.0086,0.0149,-0.24,0
119,2024-05-31 07:35:00,2024-05-31,07:35:00,0,Friday,1.0,31329.0,0.9215590818237038,41.5,0.22,0.072,0.0105,1.0,0.0,0.9948,-0.0151,0.1118,-0.01,0
120,2024-06-03 07:35:00,2024-06-03,07:35:00,0,Monday,1.0,32701.0,0.9714861203536457,33.5,0.17,0.0651,0.0768,0.0,0.0,1.0164,0.0037,0.0414,0.61,1
121,2024-06-04 07:35:00,2024-06-04,07:35:00,0,Tuesday,0.0,36250.0,1.0747364301554736,65.75,0.34,0.0667,0.0405,1.0,0.0,1.0037,0.0142,0.0729,-0.08,0
122,2024-06-05 07:35:00,2024-06-05,07:35:00,0,Wednesday,0.0,28327.0,0.8445459451240419,31.25,0.16,0.0181,0.062,0.0,0.0,1.0117,0.0161,-0.0712,0.79,1
123,2024-06-06 07:35:00,2024-06-06,07:35:00,0,Thursday,1.0,26972.0,0.8072548784867712,28.75,0.15,0.051,0.0931,0.0,0.0,1.0087,0.0265,0.0497,0.14,1
124,2024-06-07 07:50:00,2024-06-07,07:50:00,1,Friday,1.0,26927.0,0.8056717471829763,50.0,0.26,0.0013,0.0218,1.0,0.0,0.9988,-0.0024,0.1718,-0.13,0
125,2024-06-10 07:35:00,2024-06-10,07:35:00,1,Monday,1.0,33025.0,0.9834766980793542,40.5,0.21,0.0231,0.0577,0.0,0.0,0.9959,-0.0031,0.0621,-0.27,0
126,2024-06-11 07:35:00,2024-06-11,07:35:00,0,Tuesday,1.0,33009.0,0.9911392291039242,39.5,0.2,0.0409,0.0626,1.0,1.0,0.9994,0.0012,-0.0509,-0.29,0
127,2024-06-13 07:35:00,2024-06-13,07:35:00,0,Thursday,1.0,26893.0,0.8153717880694308,21.5,0.11,0.0571,0.0298,0.0,1.0,1.0263,0.0312,0.0941,2.05,1
128,2024-06-14 07:35:00,2024-06-14,07:35:00,1,Friday,1.0,27161.0,0.8361977799704756,27.75,0.14,0.0037,0.107,1.0,0.0,1.0021,0.0207,0.0901,-0.08,0
129,2024-06-17 07:35:00,2024-06-17,07:35:00,0,Monday,0.0,12539.0,0.40441733779281475,36.5,0.18,0.0804,0.0074,0.0,0.0,1.0031,0.0037,0.0169,0.03,1
130,2024-06-18 07:35:00,2024-06-18,07:35:00,0,Tuesday,1.0,6333.0,0.2117472407325057,32.0,0.16,0.022,0.0502,1.0,1.0,1.0052,0.0147,-0.054,-0.04,0
131,2024-06-20 07:40:00,2024-06-20,07:40:00,0,Thursday,1.0,33670.0,1.1217724471097785,55.0,0.27,0.0439,0.0122,0.0,1.0,1.0026,-0.0013,0.1562,0.23,1
132,2024-06-21 07:35:00,2024-06-21,07:35:00,0,Friday,1.0,31307.0,1.0461908620790483,38.5,0.19,0.0099,0.1654,1.0,0.0,0.9952,-0.009,-0.064,-0.09,0
133,2024-06-24 07:40:00,2024-06-24,07:40:00,0,Monday,0.0,28316.0,0.9538053180810714,57.0,0.28,0.0335,0.0657,0.0,0.0,0.9961,-0.0019,-0.1433,-0.27,0
134,2024-06-25 07:35:00,2024-06-25,07:35:00,0,Tuesday,0.0,31247.0,1.0731439267101117,26.75,0.13,0.0473,0.0187,1.0,1.0,0.9975,-0.01,-0.0629,0.43,1
135,2024-06-26 07:40:00,2024-06-26,07:40:00,1,Wednesday,1.0,31153.0,1.066604125973846,33.25,0.16,0.1128,0.0149,1.0,1.0,1.0015,0.0047,0.0706,-0.19,0
